"title","star","url","cover","info","oneSentenceComment"
"哈尔的移动城堡 / ハウルの動く城","9.0","https://movie.douban.com/subject/1308807/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg","导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...\n                            2004 / 日本 / 动画 奇幻 冒险","带着心爱的人在天空飞翔。"
"闻香识女人 / Scent of a Woman","9.0","https://movie.douban.com/subject/1298624/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg","导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...\n                            1992 / 美国 / 剧情","史上最美的探戈。"
"窃听风暴 / Das Leben der Anderen","9.1","https://movie.douban.com/subject/1900841/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg","导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...\n                            2006 / 德国 / 剧情 悬疑","别样人生。"
"辩护人 / 변호인","9.2","https://movie.douban.com/subject/21937445/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg","导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...\n                            2013 / 韩国 / 剧情","电影的现实意义大过电影本身。"
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels","9.1","https://movie.douban.com/subject/1293350/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg","导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran\n                            1998 / 英国 / 剧情 喜剧 犯罪","4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。"
"飞越疯人院 / One Flew Over the Cuckoo's Nest","9.1","https://movie.douban.com/subject/1292224/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg","导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...\n                            1975 / 美国 / 剧情","自由万岁。"
"死亡诗社 / Dead Poets Society","9.0","https://movie.douban.com/subject/1291548/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg","导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...\n                            1989 / 美国 / 剧情","当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。"
"末代皇帝 / The Last Emperor","9.1","https://movie.douban.com/subject/1293172/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg","导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...\n                            1987 / 英国 意大利 中国大陆 法国 美国 / 剧情 传记 历史","“不要跟我比惨，我比你更惨”再适合这部电影不过了。"
"指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers","9.0","https://movie.douban.com/subject/1291572/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg","导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...\n                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险","承前启后的史诗篇章。"
"V字仇杀队 / V for Vendetta","8.8","https://movie.douban.com/subject/1309046/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg","导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...\n                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚","一张面具背后的理想与革命。"
"教父2 / The Godfather: Part Ⅱ","9.1","https://movie.douban.com/subject/1299131/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg","导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...\n                            1974 / 美国 / 剧情 犯罪","优雅的孤独。"
"素媛 / 소원","9.2","https://movie.douban.com/subject/21937452/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg","导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...\n                            2013 / 韩国 / 剧情","受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。"
"指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring","9.0","https://movie.douban.com/subject/1291571/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg","导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...\n                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险","传说的开始。"
"海豚湾 / The Cove","9.3","https://movie.douban.com/subject/3442220/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg","导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...\n                            2009 / 美国 / 纪录片","海豚的微笑，是世界上最高明的伪装。"
"饮食男女 / 飲食男女","9.1","https://movie.douban.com/subject/1291818/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg","导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...\n                            1994 / 台湾 美国 / 剧情 家庭","人生不能像做菜，把所有的料都准备好了才下锅。"
"美丽心灵 / A Beautiful Mind","8.9","https://movie.douban.com/subject/1306029/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg","导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...\n                            2001 / 美国 / 传记 剧情","爱是一切逻辑和原由。"
"狮子王 / The Lion King","9.0","https://movie.douban.com/subject/1301753/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg","导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...\n                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭","动物版《哈姆雷特》。"
"寻梦环游记 / Coco","9.0","https://movie.douban.com/subject/20495023/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg","导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...\n                            2017 / 美国 / 喜剧 动画 奇幻 音乐","死亡不是真的逝去，遗忘才是永恒的消亡。"
"情书 / Love Letter","8.9","https://movie.douban.com/subject/1292220/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg","导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...\n                            1995 / 日本 / 剧情 爱情","暗恋的极致。"
"钢琴家 / The Pianist","9.1","https://movie.douban.com/subject/1296736/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg","导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...\n                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐","音乐能化解仇恨。"
"美国往事 / Once Upon a Time in America","9.1","https://movie.douban.com/subject/1292262/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg","导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...\n                            1984 / 意大利 美国 / 犯罪 剧情","往事如烟，无处祭奠。"
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button","8.8","https://movie.douban.com/subject/1485260/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg","导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...\n                            2008 / 美国 / 剧情 爱情 奇幻","在时间之河里感受溺水之苦。"
"小鞋子 / بچههای آسمان","9.2","https://movie.douban.com/subject/1303021/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg","导演: 马基德·马基迪 Majid Majidi   主演: 法拉赫阿米尔·哈什米安 Amir Fa...\n                            1997 / 伊朗 / 剧情 儿童 家庭","奔跑的孩子是天使。"
"黑客帝国 / The Matrix","8.9","https://movie.douban.com/subject/1291843/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg","导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...\n                            1999 / 美国 澳大利亚 / 动作 科幻","视觉革命。"
"看不见的客人 / Contratiempo","8.8","https://movie.douban.com/subject/26580232/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg","导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...\n                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚","你以为你以为的就是你以为的。"
"西西里的美丽传说 / Malèna","8.8","https://movie.douban.com/subject/1292402/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg","导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...\n                            2000 / 意大利 美国 / 剧情 战争 情色","美丽无罪。"
"让子弹飞","8.7","https://movie.douban.com/subject/3742360/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg","导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...\n                            2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部","你给我翻译翻译，神马叫做TMD的惊喜。"
"拯救大兵瑞恩 / Saving Private Ryan","8.9","https://movie.douban.com/subject/1292849/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg","导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...\n                            1998 / 美国 / 剧情 历史 战争","美利坚精神输出大片No1."
"大闹天宫","9.3","https://movie.douban.com/subject/1418019/","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg","导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...\n                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻","经典之作，历久弥新。"
"致命魔术 / The Prestige","8.8","https://movie.douban.com/subject/1780330/","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg","导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...\n                            2006 / 美国 英国 / 剧情 悬疑 惊悚","孪生蝙蝠侠大战克隆金刚狼。"
